Text,Count,Weight
Storyreet,2,0.000695652
Swanstonreet,2,0.000695652
Tankardreet,2,0.000695652
Tennysonreet,2,0.000695652
Thawne,2,0.000695652
Ridgeway,2,0.000695652
Crescent,2,0.000695652
Tivoli,2,0.000695652
Tom,2,0.000695652
Thumbne,2,0.000695652
Trafalgar,2,0.000695652
Universityreet,2,0.000695652
Veronane,2,0.000695652
Walkerreet,2,0.000695652
Walshreet,2,0.000695652
Warrior,2,0.000695652
Womanne,2,0.000695652
Waterloo,2,0.000695652
Watertank,2,0.000695652
Webbne,2,0.000695652
Weirsne,2,0.000695652
Wellsreet,2,0.000695652
Gate,2,0.000695652
Westsideenue,2,0.000695652
Hartne,2,0.000695652
Wilson,2,0.000695652
Wimmera,2,0.000695652
Wominjeka,2,0.000695652
Wright,2,0.000695652
Young,2,0.000695652
206,1,0.000347826
Abbotsfordreet,1,0.000347826
A'beckettreet,1,0.000347826
Acland,1,0.000347826
Aclandreet,1,0.000347826
Adamsreet,1,0.000347826
Adderleyreet,1,0.000347826
Adelane,1,0.000347826
Agnesreet,1,0.000347826
Airlie,1,0.000347826
Airliereet,1,0.000347826
Albermarlereet,1,0.000347826
Coates,1,0.000347826
Albertne,1,0.000347826
Albertreet,1,0.000347826
Alexandersne,1,0.000347826
Alfredreet,1,0.000347826
Allisonne,1,0.000347826
Alma,1,0.000347826
Almeida,1,0.000347826
Alsopne,1,0.000347826
Altonareet,1,0.000347826
Altsonne,1,0.000347826
Amphlettne,1,0.000347826
Anchorne,1,0.000347826
Andersonne,1,0.000347826
Andersonsne,1,0.000347826
Ann,1,0.000347826
Anthonyne,1,0.000347826
Anzacenue,1,0.000347826
Aplin,1,0.000347826
Appleton,1,0.000347826
Aquarium,1,0.000347826
Arden,1,0.000347826
Siding,1,0.000347826
Argo,1,0.000347826
Armadalereet,1,0.000347826
Armstrong,1,0.000347826
Arnold,1,0.000347826
Arnoldreet,1,0.000347826
Artemis,1,0.000347826
Astor,1,0.000347826
Athenaeum,1,0.000347826
Athol,1,0.000347826
Atkinreet,1,0.000347826
Aucklandne,1,0.000347826
Aughtie,1,0.000347826
Augustaenue,1,0.000347826
Aurorane,1,0.000347826
Austral,1,0.000347826
Australian,1,0.000347826
Australne,1,0.000347826
Avoca,1,0.000347826
Avro,1,0.000347826
Ayrshire,1,0.000347826
Bake,1,0.000347826
Bakehouse,1,0.000347826
Bakeryne,1,0.000347826
Balcombe,1,0.000347826
Bale,1,0.000347826
Ballantynereet,1,0.000347826
Ballarat,1,0.000347826
Balmain,1,0.000347826
Balmerreet,1,0.000347826
Balstonreet,1,0.000347826
Banbridge,1,0.000347826
