Text,Count,Weight
Clearview,3,0.000178688
Clover,3,0.000178688
Cockatoo,3,0.000178688
Colebrook,3,0.000178688
Commercial,3,0.000178688
Compass,3,0.000178688
Condamine,3,0.000178688
Coral,3,0.000178688
Corbett,3,0.000178688
Corella,3,0.000178688
Coriander,3,0.000178688
Corymbia,3,0.000178688
Cotswold,3,0.000178688
Coyne,3,0.000178688
Craig,3,0.000178688
Crestwood,3,0.000178688
Creswick,3,0.000178688
Crockford,3,0.000178688
Croft,3,0.000178688
Cromarty,3,0.000178688
Crowther,3,0.000178688
Daffodil,3,0.000178688
Dandenong,3,0.000178688
Daphne,3,0.000178688
Dart,3,0.000178688
Davidson,3,0.000178688
Davies,3,0.000178688
Deborah,3,0.000178688
Dennis,3,0.000178688
Diamantina,3,0.000178688
Diamond,3,0.000178688
Dock,3,0.000178688
Doggett,3,0.000178688
Don,3,0.000178688
Dornoch,3,0.000178688
Dorrigo,3,0.000178688
Doulton,3,0.000178688
Dowling,3,0.000178688
Drake,3,0.000178688
Drummond,3,0.000178688
Dunne,3,0.000178688
Durham,3,0.000178688
Dutton,3,0.000178688
Earle,3,0.000178688
Eaton,3,0.000178688
Ebony,3,0.000178688
Echidna,3,0.000178688
Egret,3,0.000178688
Ekibin,3,0.000178688
Eleventh,3,0.000178688
Ellis,3,0.000178688
Empress,3,0.000178688
End,3,0.000178688
Endeavour,3,0.000178688
Enterprise,3,0.000178688
Epsom,3,0.000178688
Ermelo,3,0.000178688
Estate,3,0.000178688
Esther,3,0.000178688
Eugenia,3,0.000178688
Eungella,3,0.000178688
Eva,3,0.000178688
Exeter,3,0.000178688
Fairview,3,0.000178688
Federation,3,0.000178688
Felix,3,0.000178688
Ferndale,3,0.000178688
Finch,3,0.000178688
Finnegan,3,0.000178688
Flamingo,3,0.000178688
Forrest,3,0.000178688
Fox,3,0.000178688
Foxton,3,0.000178688
Francis,3,0.000178688
Frank,3,0.000178688
Fryar,3,0.000178688
Gannon,3,0.000178688
Gap,3,0.000178688
Garfield,3,0.000178688
Gawler,3,0.000178688
Gebbie,3,0.000178688
Geranium,3,0.000178688
Gibbon,3,0.000178688
Glencoe,3,0.000178688
Gold,3,0.000178688
Links,3,0.000178688
Gooderham,3,0.000178688
Goodwin,3,0.000178688
Government,3,0.000178688
Gower,3,0.000178688
Gracemere,3,0.000178688
Granville,3,0.000178688
Grattan,3,0.000178688
Greencamp,3,0.000178688
Greendale,3,0.000178688
Gumnut,3,0.000178688
Habitat,3,0.000178688
Hale,3,0.000178688
Hampshire,3,0.000178688
Harriet,3,0.000178688
Harrow,3,0.000178688
Hartley,3,0.000178688
Hastings,3,0.000178688
Hawthorn,3,0.000178688
Hazlewood,3,0.000178688
Helena,3,0.000178688
Tingalpa,3,0.000178688
Hermitage,3,0.000178688
Heron,3,0.000178688
Highbury,3,0.000178688
Highlands,3,0.000178688
Hillgrove,3,0.000178688
Hillview,3,0.000178688
Holmes,3,0.000178688
Honeyeater,3,0.000178688
Honeysuckle,3,0.000178688
Hood,3,0.000178688
Hoop,3,0.000178688
Hopetoun,3,0.000178688
Horton,3,0.000178688
Ingleston,3,0.000178688
Innes,3,0.000178688
Iona,3,0.000178688
Iris,3,0.000178688
Isaac,3,0.000178688
Isabella,3,0.000178688
Ivo,3,0.000178688
Jamieson,3,0.000178688
Jason,3,0.000178688
Jenolan,3,0.000178688
Joshua,3,0.000178688
Judge,3,0.000178688
Juxgold,3,0.000178688
Kakadu,3,0.000178688
Kalinga,3,0.000178688
Kanangra,3,0.000178688
Kathleen,3,0.000178688
Keats,3,0.000178688
Kehoe,3,0.000178688
Keith,3,0.000178688
Kelly,3,0.000178688
Kenneth,3,0.000178688
Kianawah,3,0.000178688
Kiandra,3,0.000178688
Kidston,3,0.000178688
Kimberley,3,0.000178688
Kismet,3,0.000178688
Knightsbridge,3,0.000178688
Kondalilla,3,0.000178688
Kooringal,3,0.000178688
Lade,3,0.000178688
Lahey,3,0.000178688
Lanham,3,0.000178688
Learoyd,3,0.000178688
Leichhardt,3,0.000178688
Lemnos,3,0.000178688
Leopard,3,0.000178688
Levitt,3,0.000178688
Lilley,3,0.000178688
Lindeman,3,0.000178688
Lindum,3,0.000178688
Livingstone,3,0.000178688
Lodge,3,0.000178688
Longland,3,0.000178688
Lonsdale,3,0.000178688
Louisa,3,0.000178688
Ludlow,3,0.000178688
Lugg,3,0.000178688
Mabel,3,0.000178688
Mackie,3,0.000178688
Macrossan,3,0.000178688
Maddocks,3,0.000178688
Madison,3,0.000178688
Magenta,3,0.000178688
Magnolia,3,0.000178688
Mallee,3,0.000178688
Maple,3,0.000178688
Marine,3,0.000178688
Markwell,3,0.000178688
Marne,3,0.000178688
Martha,3,0.000178688
Massey,3,0.000178688
Maxwell,3,0.000178688
May,3,0.000178688
Maynard,3,0.000178688
Mcconnell,3,0.000178688
